,Diet,Cuisine,Home_or_restaurant,Healthiness_rating,Likeness,Dish_name,Ingredients,Healthiness_rating_int,Likeness_int,filenames
0,vegan,british,home,neutral,like,pie_and_chips,"mushroom_pie,chips,peas",3.0,4.0,000024.jpg
1,vegan,indian,home,very_healthy,strongly_like,cauliflower_curry_rice,"rice,cauliflower,spices,ginger,garlic,chillies,pepper",5.0,5.0,000035.jpg
2,non_vegetarian,indian,restaurant,neutral,strongly_like,chicken_biryani,"rice,chicken,potatos_and_spicy,",3.0,5.0,000040.jpg
3,vegan,indian,home,healthy,dislike,mixed_vegetable_fried_rice,"rice,onion,carrot,red_bell_pepper,garlic,vegetable_oil,salt,pepper",4.0,2.0,000044.jpg
4,vegan,indian,home,very_healthy,like,rice_with_rasam,"rice,tamarind,tomato,indian_spices,greens",5.0,4.0,000066.jpg
5,vegetarian,indian,home,healthy,strongly_like,rice_with_potato_curry,"rice,potatoes,curry_sauce",4.0,5.0,000070.jpg
6,non_vegetarian,indian,home,neutral,dislike,rice_and_lamb_curry,"rice,lamb,coconut_milk,chilli,garlic_paste,curry_leaves,turmeric_powder",3.0,2.0,000075.jpg
7,non_vegetarian,english,home,unhealthy,like,"fish_burger,chips,onion_rings","cod_fillets,panko_bread_crumbs,onions,potatoes,bread,lettace,mayonaise,ketchup,salt,oil",2.0,4.0,000096.jpg
8,non_vegetarian,indian,home,neutral,neutral,podi_rice_with_omlette,"for_podi_rice:_podi_(spice_powder),cooked_rice,ghee_or_oil,mustard_seeds,urad_dal,chana_dal,peanuts,asafoetida_(hing),salt._for_omelette:_eggs,salt,pepper,cooking_oil_or_butter",3.0,3.0,000106.jpg
9,vegetarian,english,home,unhealthy,strongly_like,sandwich_with_potatos_fries,"bread,potato,tomato,onion,spices,potato_fries",2.0,5.0,000107.jpg
10,vegetarian,indian,home,very_healthy,like,steamed_rice_cake(_kerala_puttu)_with_greengram_curry,"rice_flour,coconut,salt,moong_bean(green_gram),onion,ginger,turmeric_powder,green_chilli",5.0,4.0,000111.jpg
